X,Y,Z,RockUnit,Lith Code
6575.19,7313.94,1601.41,3,1
6575.19,7313.94,1586.41,1,1
6575.19,7313.94,1571.41,3,1
6575.19,7313.94,1556.41,3,3
6575.19,7313.94,1541.41,3,3
6575.19,7313.94,1526.41,3,3
6575.19,7313.94,1511.41,3,3
6575.19,7313.94,1496.41,3,3
6575.19,7313.94,1481.41,2,3
6575.19,7313.94,1466.41,2,3
6575.19,7313.94,1458.51,2,3
6790.91,7183.2,1651.5,1,3
6790.91,7183.2,1636.5,1,3
6790.91,7183.2,1621.5,1,3
6790.91,7183.2,1608.9,1,3
6790.91,7183.2,1596.3,3,3
6790.91,7183.2,1581.3,3,3
6790.91,7183.2,1566.3,3,3
6790.91,7183.2,1551.3,3,3
6790.91,7183.2,1536.3,3,3
6790.91,7183.2,1521.3,3,3
6790.91,7183.2,1506.3,3,3
6790.91,7183.2,1491.3,3,3
6790.91,7183.2,1476.3,3,3
6790.91,7183.2,1461.3,3,3
6790.91,7183.2,1446.3,3,3
6790.91,7183.2,1433.8,3,3
6403.31,7303.7,1617.06,1,3
6403.31,7303.7,1606.52,1,3
6403.31,7303.7,1595.97,3,3
6403.31,7303.7,1580.97,3,3
6403.31,7303.7,1565.97,3,3
6403.31,7303.7,1550.97,3,3
6403.31,7303.7,1535.97,3,3
6403.31,7303.7,1520.97,3,3
6403.31,7303.7,1505.97,3,3
6403.31,7303.7,1490.97,2,3
6403.31,7303.7,1475.97,2,3
6403.31,7303.7,1460.97,2,1
6403.31,7303.7,1445.97,2,1
6403.31,7303.7,1430.97,2,1
6403.31,7303.7,1415.97,2,1
6403.31,7303.7,1400.97,2,1
6479.92,7067.84,1679.33,1,1
6479.92,7067.84,1664.33,1,1
6479.92,7067.84,1649.33,1,1
6479.92,7067.84,1634.33,1,1
6479.92,7067.84,1619.33,1,1
6479.92,7067.84,1604.33,1,1
6479.92,7067.84,1596.57,1,1
6479.92,7067.84,1588.81,3,1
6479.92,7067.84,1573.81,3,1
6479.92,7067.84,1558.81,3,1
6479.92,7067.84,1543.81,3,1
6479.92,7067.84,1528.81,3,1
6479.92,7067.84,1513.81,2,1
6479.92,7067.84,1498.81,3,1
6479.92,7067.84,1483.81,2,1
6479.92,7067.84,1468.81,3,1
6479.92,7067.84,1453.81,2,1
6479.92,7067.84,1438.81,2,1
6479.92,7067.84,1423.81,2,1
6479.92,7067.84,1408.81,2,1
6604.11,7304.39,1658.18,1,1
6604.11,7304.39,1643.18,1,1
6604.11,7304.39,1628.18,1,3
6604.11,7304.39,1615.57,1,3
6604.11,7304.39,1602.95,3,3
6604.11,7304.39,1587.95,3,3
6604.11,7304.39,1572.95,3,3
6604.11,7304.39,1557.95,3,3
6604.11,7304.39,1542.95,3,3
6604.11,7304.39,1527.95,3,3
6604.11,7304.39,1512.95,3,3
6604.11,7304.39,1497.95,2,3
6604.11,7304.39,1487.45,3,3
6604.11,7304.39,1476.95,2,3
6604.11,7304.39,1461.95,2,3
6604.11,7304.39,1446.95,2,3
6604.11,7304.39,1431.95,2,3
6604.11,7304.39,1416.95,2,3
6604.11,7304.39,1401.95,2,3
6268.03,7125.55,1557.26,1,3
6268.03,7125.55,1542.26,1,3
6268.03,7125.55,1528.92,1,3
6268.03,7125.55,1515.58,3,3
6268.03,7125.55,1500.58,3,3
6268.03,7125.55,1485.58,2,3
6268.03,7125.55,1470.58,2,3
6268.03,7125.55,1455.58,2,3
6268.03,7125.55,1440.58,2,3
6268.03,7125.55,1425.58,2,3
6268.03,7125.55,1410.58,2,3
6741.66,7348.96,1687.5,1,3
6741.66,7348.96,1672.5,1,3
6741.66,7348.96,1657.5,1,3
6741.66,7348.96,1642.5,1,3
6741.66,7348.96,1627.5,1,3
6741.66,7348.96,1615.43,1,3
6741.66,7348.96,1603.36,3,3
6741.66,7348.96,1588.36,3,3
6741.66,7348.96,1573.36,3,3
6741.66,7348.96,1558.36,3,3
6741.66,7348.96,1543.36,3,3
6741.66,7348.96,1528.36,3,3
6741.66,7348.96,1513.36,3,3
6741.66,7348.96,1498.36,3,3
6741.66,7348.96,1483.36,2,3
6741.66,7348.96,1468.36,2,3
6741.66,7348.96,1453.36,2,3
6741.66,7348.96,1438.36,2,3
6741.66,7348.96,1423.36,2,3
