X,Y,Z,RockUnit,Lith Code
6778.2,5741.9,1409.76,2,4
6778.2,5741.9,1394.76,2,4
6778.2,5741.9,1379.76,3,4
6778.2,5741.9,1364.76,3,4
6778.2,5741.9,1349.76,3,4
6778.2,5741.9,1334.76,3,4
7668.2,6300.9,1501.12,1,3
7668.2,6300.9,1486.12,1,3
7668.2,6300.9,1471.12,1,3
7668.2,6300.9,1456.12,2,3
7668.2,6300.9,1441.12,2,3
7668.2,6300.9,1426.12,2,3
7668.2,6300.9,1411.12,2,3
7668.2,6300.9,1396.12,2,3
7668.2,6300.9,1381.12,2,3
7668.2,6300.9,1366.12,2,3
7668.2,6300.9,1351.12,2,3
7668.2,6300.9,1336.12,2,3
7668.2,6300.9,1321.12,3,3
6979.3,6385.1,1737.67,1,3
6979.3,6385.1,1722.67,1,3
6979.3,6385.1,1707.67,1,3
6979.3,6385.1,1692.67,1,3
6979.3,6385.1,1677.67,1,3
6979.3,6385.1,1662.67,1,3
6979.3,6385.1,1647.67,1,3
6979.3,6385.1,1632.67,1,3
6979.3,6385.1,1617.67,1,3
6979.3,6385.1,1602.67,1,3
6979.3,6385.1,1587.67,1,3
6979.3,6385.1,1572.67,2,3
6979.3,6385.1,1557.67,2,3
6979.3,6385.1,1542.67,2,3
6979.3,6385.1,1527.67,2,3
6979.3,6385.1,1512.67,2,3
6979.3,6385.1,1497.67,2,3
6979.3,6385.1,1482.67,3,3
6979.3,6385.1,1467.67,3,3
6979.3,6385.1,1452.67,3,3
6979.3,6385.1,1437.67,3,3
6979.3,6385.1,1422.67,3,3
6979.3,6385.1,1407.67,3,3
6979.3,6385.1,1392.67,3,3
6979.3,6385.1,1377.67,3,3
7670.9,5894.4,1532.21,4,4
7670.9,5894.4,1517.21,4,4
7670.9,5894.4,1502.21,4,4
7670.9,5894.4,1487.21,4,4
7670.9,5894.4,1472.21,4,4
7670.9,5894.4,1457.21,4,4
7670.9,5894.4,1442.21,4,4
7670.9,5894.4,1427.21,4,4
7670.9,5894.4,1412.21,4,4
7670.9,5894.4,1397.21,4,4
7670.9,5894.4,1382.21,4,4
7670.9,5894.4,1367.21,4,4
7670.9,5894.4,1352.21,4,4
7670.9,5894.4,1337.21,4,4
7670.9,5894.4,1322.21,4,4
7670.9,5894.4,1307.21,4,2
7670.9,5894.4,1292.21,4,2
7670.9,5894.4,1277.21,4,2
7670.9,5894.4,1262.21,4,2
7670.9,5894.4,1247.21,4,2
7501.8,5688.3,1551.14,4,4
7501.8,5688.3,1536.14,4,4
7501.8,5688.3,1521.14,4,4
7501.8,5688.3,1506.14,4,4
7501.8,5688.3,1491.14,4,4
7501.8,5688.3,1476.14,4,4
7501.8,5688.3,1461.14,4,4
7501.8,5688.3,1446.14,4,4
7501.8,5688.3,1431.14,4,4
7501.8,5688.3,1416.14,4,4
7501.8,5688.3,1401.14,4,4
7501.8,5688.3,1386.14,4,4
